id,date,hap,fdate,saledate,fdummy,sdummy,spell,saleval,sqft,age
040.44.01.058.00,9/1/14,0,,,0,0,60,10.46310334,6.66949809,4.543294782
040.44.06.020.00,9/1/14,0,,,0,0,60,,6.763884909,4.644390899
041.40.01.007.00,9/1/14,0,,,0,0,60,11.24373798,7.201170883,3.951243719
041.40.21.013.00,9/1/14,0,,2/1/18,0,1,41,10.88743693,6.989335266,3.891820298
045.10.00.062.00,9/1/14,0,,,0,0,60,12.17303279,8.32700074,4.49980967
045.30.00.633.00,9/1/14,0,,,0,0,60,10.94552949,7.224024808,3.713572067
054.21.06.019.00,9/1/14,0,,11/1/16,0,1,26,9.83091686,6.779921907,4.700480366
054.22.09.011.00,9/1/14,0,,,0,0,60,11.8913619,7.746732908,4.59511985
054.42.09.007.00,9/1/14,0,,7/1/18,0,1,46,11.04292184,6.802394763,3.496507561
055.11.09.007.00,9/1/14,0,,5/1/17,0,1,32,8.160518247,6.622736324,4.634728988
055.11.22.037.00,9/1/14,0,,,0,0,60,10.02570519,7.247792582,4.343805422
055.11.31.022.00,9/1/14,0,,,0,0,60,9.903487553,7.763021309,4.718498871
055.12.02.056.00,9/1/14,0,,1/1/18,0,1,40,9.83091686,7.411556288,4.521788577
055.12.09.003.01,9/1/14,0,,,0,0,60,11.43496392,7.156956365,4.543294782
055.12.09.009.00,9/1/14,0,,7/1/17,0,1,34,10.84933709,7.397561536,4.521788577
055.12.09.051.00,9/1/14,0,,,0,0,60,10.03889219,6.376726948,4.820281566
055.13.15.035.00,9/1/14,0,,,0,0,60,9.680344001,7.426549072,4.691347882
055.14.06.042.00,9/1/14,0,,,0,0,60,10.81977828,7.385230923,4.927253685
055.14.13.004.00,9/1/14,0,,,0,0,60,9.846917201,7.068172,4.204692619
055.14.13.005.00,9/1/14,1,,,0,0,60,8.476371197,6.882437471,4.532599493
055.14.19.013.00,9/1/14,0,,,0,0,60,12.08672589,7.677863501,4.727387819
055.21.01.108.00,9/1/14,0,,11/1/18,0,1,50,11.82846587,7.869401713,3.091042453
055.21.01.109.00,9/1/14,0,,11/1/18,0,1,50,11.8386256,7.869401713,3.044522438
055.21.01.114.00,9/1/14,0,,9/1/16,0,1,24,11.77528973,7.869401713,3.091042453
055.23.09.014.00,9/1/14,0,,,0,0,60,10.50780352,6.784457063,4.553876892
055.23.19.014.00,9/1/14,0,,3/1/17,0,1,30,,7.412160335,4.553876892
055.23.20.005.00,9/1/14,0,,,0,0,60,11.22524339,7.17930797,4.564348191
055.24.02.003.00,9/1/14,0,,,0,0,60,11.75194237,7.153051635,4.127134385
055.24.04.012.00,9/1/14,0,,12/1/18,0,1,51,10.46310334,7.470224136,4.574710979
055.24.11.006.00,9/1/14,0,,4/1/18,0,1,43,11.22524339,7.062191632,4.49980967
055.32.04.054.00,9/1/14,0,,3/1/15,0,1,6,9.480367509,7.367708572,4.736198448
055.32.22.014.00,9/1/14,0,,,0,0,60,11.08214255,7.339537695,4.644390899
055.32.23.020.00,9/1/14,0,,7/1/17,0,1,34,10.75577295,7.445417557,4.644390899
055.32.25.005.00,9/1/14,0,,,0,0,60,11.69524702,8.292548514,4.672828834
055.41.02.004.00,9/1/14,0,,,0,0,60,11.66134547,7.818832444,4.852030264
056.11.02.011.00,9/1/14,0,,,0,0,60,10.95080655,7.038783541,4.543294782
056.11.03.012.00,9/1/14,0,,3/1/17,0,1,30,11.49272276,7.229838778,4.532599493
056.11.07.003.00,9/1/14,0,,,0,0,60,10.20359214,7.135687347,4.248495242
