id,hap,fdummy,sdummy,spell,age,sqft,saleval
055.32.19.002.00,0,0,0,48,4.762173935,6.723832441,8.809862805
055.32.19.002.00,0,0,0,48,4.762173935,6.723832441,8.809862805
055.32.22.008.00,0,0,0,48,4.672828834,7.840312983,11.2515607
055.32.23.010.00,0,0,0,48,4.691347882,6.987490247,11.3736634
055.32.23.010.00,0,0,0,48,4.691347882,6.987490247,11.3736634
055.32.23.011.00,0,0,0,48,4.644390899,7.999007213,10.81977828
055.32.24.003.00,0,0,0,48,4.574710979,7.707961532,11.01862914
055.32.24.003.00,0,0,0,48,4.574710979,7.707961532,11.01862914
055.32.27.004.00,0,0,0,48,4.927253685,6.74051936,10.4487146
055.32.27.016.00,0,0,0,48,4.644390899,7.403061091,11.19134184
055.32.27.016.00,0,0,0,48,4.644390899,7.403061091,11.19134184
055.32.27.025.00,0,0,0,48,4.779123493,7.404887576,10.4341158
055.32.28.016.00,0,0,1,11,3.465735903,7.398174093,11.28978191
055.32.28.020.00,1,0,0,48,4.553876892,7.153833802,11.08214255
055.32.29.012.00,0,0,0,48,4.65396035,7.568379268,10.91508846
055.32.29.012.00,0,0,0,48,4.65396035,7.568379268,10.91508846
055.32.29.020.00,0,1,0,2,4.644390899,7.387709239,11.00209984
055.32.30.003.00,0,0,0,48,4.644390899,7.65396918,11.87756858
055.32.30.005.00,0,0,0,48,4.615120517,7.356918242,11.3736634
055.32.30.017.00,0,0,0,48,4.663439094,7.510430556,11.14186178
055.32.30.017.00,0,0,0,48,4.663439094,7.510430556,11.14186178
055.32.32.005.00,0,0,0,48,4.477336814,7.491087594,9.392661929
055.32.32.007.00,0,1,0,2,4.543294782,7.032624261,10.46595641
055.32.32.007.00,0,1,0,2,4.543294782,7.032624261,10.46595641
055.32.32.007.00,0,1,0,2,4.543294782,7.032624261,10.46595641
055.41.05.033.00,0,0,0,48,4.691347882,7.548555979,12.31043266
055.41.09.016.00,0,0,1,9,4.127134385,7.383989458,10.91508846
055.41.09.016.00,0,0,1,9,4.127134385,7.383989458,10.91508846
055.41.13.003.00,0,0,0,48,4.736198448,8.034631033,11.81303006
055.41.13.003.00,0,0,0,48,4.736198448,8.034631033,11.81303006
055.42.04.005.00,0,0,0,48,4.343805422,7.160069208,10.59663473
056.11.02.004.00,0,0,0,48,4.49980967,7.40671073,9.61580548
056.11.02.012.00,0,0,0,48,4.59511985,6.865891075,10.29214554
056.11.02.014.00,0,1,0,1,4.691347882,7.087573706,10.19988157
056.11.02.014.00,0,1,0,1,4.691347882,7.087573706,10.19988157
056.11.02.014.00,0,1,0,1,4.691347882,7.087573706,10.19988157
056.11.02.015.00,0,0,0,48,4.644390899,7.374001859,11.22524339
056.11.02.017.00,0,0,0,48,4.59511985,6.684611728,9.210340372
056.11.02.017.00,0,0,0,48,4.59511985,6.684611728,9.210340372
056.11.02.041.00,0,0,0,48,4.691347882,7.215239979,9.740968623
056.11.04.011.00,0,0,1,35,4.691347882,7.746732908,11.28978191
056.11.04.011.00,0,0,1,35,4.691347882,7.746732908,11.28978191
056.11.06.013.00,0,0,0,48,4.510859507,7.459338895,11.78676213
056.11.06.015.00,0,0,0,48,4.521788577,7.73587032,11.71993963
056.11.07.004.00,0,1,0,7,4.59511985,7.23417718,10.60905725
056.11.07.004.00,0,1,0,7,4.59511985,7.23417718,10.60905725
056.11.07.016.00,0,0,0,48,4.543294782,7.360103973,11.14186178
056.11.07.019.00,0,0,1,20,4.543294782,6.761572769,10.52674861
056.11.07.019.00,0,0,1,20,4.543294782,6.761572769,10.52674861
056.11.07.040.00,0,0,0,48,4.553876892,6.937314081,11.49272276
056.11.07.079.00,0,0,0,48,4.204692619,7.232733136,11.58058411
056.11.07.079.00,0,0,0,48,4.204692619,7.232733136,11.58058411
056.11.08.002.00,0,0,1,41,4.110873864,7.134093721,11.08214255
056.11.08.009.00,0,0,0,48,4.744932128,7.308542798,10.30895266
056.11.08.012.00,0,0,0,48,4.49980967,7.002155954,11.59910316
056.11.08.019.00,0,0,0,48,4.779123493,7.850493181,10.49127422
056.11.08.019.00,0,0,0,48,4.779123493,7.850493181,10.49127422
056.11.08.035.00,0,0,1,17,4.077537444,7.109879463,10.70548914
056.11.08.035.00,0,0,1,17,4.077537444,7.109879463,10.70548914
056.11.08.040.00,0,1,0,2,4.564348191,6.758094504,10.67590791
056.11.08.053.00,0,0,0,48,4.584967479,7.701652363,10.63344871
056.12.01.001.01,0,0,0,48,4.779123493,7.100027167,11.06663836
056.12.02.001.00,1,0,1,12,4.521788577,6.739336627,9.740968623
056.12.02.002.00,1,0,1,18,4.521788577,6.728628613,9.947504438
056.12.02.006.00,0,0,1,17,4.532599493,7.465082736,10.72106231
056.12.03.003.00,0,0,1,19,4.543294782,7.103322063,9.752664663
056.12.03.011.00,0,0,1,44,4.521788577,7.614805365,11.46163217
056.12.04.003.00,0,1,0,5,4.644390899,6.907755279,11.45423647
056.12.04.003.00,0,1,0,5,4.644390899,6.907755279,11.45423647
056.12.05.005.00,0,0,0,48,3.63758616,7.244941546,11.43496392
056.12.06.007.00,0,0,1,31,4.644390899,7.535296702,10.59663473
056.12.06.007.00,0,0,1,31,4.644390899,7.535296702,10.59663473
056.12.08.006.00,0,0,0,48,4.564348191,7.514254653,10.41930072
056.12.11.021.00,1,0,0,48,4.406719247,6.977281342,11.35040654
